Date;volatilite;change
2/1/90;17,24;5,83
3/1/90;18,19;5,87
4/1/90;19,22;5,76
5/1/90;20,11;5,74
6/1/90;#N/A;#N/A
7/1/90;#N/A;#N/A
8/1/90;20,26;5,69
9/1/90;22,20;5,73
10/1/90;22,44;5,72
11/1/90;20,05;5,73
12/1/90;24,64;5,71
13/1/90;#N/A;#N/A
14/1/90;#N/A;#N/A
15/1/90;26,34;5,76
16/1/90;24,18;5,76
17/1/90;24,16;5,74
18/1/90;24,34;5,80
19/1/90;22,50;5,80
20/1/90;#N/A;#N/A
21/1/90;#N/A;#N/A
22/1/90;26,70;5,85
23/1/90;24,72;5,76
24/1/90;25,39;5,73
25/1/90;25,63;5,74
26/1/90;26,28;5,75
27/1/90;#N/A;#N/A
28/1/90;#N/A;#N/A
29/1/90;26,44;5,70
30/1/90;27,25;5,71
31/1/90;25,36;5,73
1/2/90;24,87;5,71
2/2/90;24,32;5,73
3/2/90;#N/A;#N/A
4/2/90;#N/A;#N/A
5/2/90;24,54;5,67
6/2/90;24,69;5,64
7/2/90;24,29;5,63
8/2/90;23,77;5,68
9/2/90;23,69;5,69
10/2/90;#N/A;#N/A
11/2/90;#N/A;#N/A
12/2/90;24,38;5,68
13/2/90;23,76;5,70
14/2/90;22,05;5,69
15/2/90;19,71;5,71
16/2/90;20,78;5,71
17/2/90;#N/A;#N/A
18/2/90;#N/A;#N/A
19/2/90;#N/A;#N/A
20/2/90;22,78;5,69
21/2/90;23,89;5,66
22/2/90;22,54;5,66
23/2/90;23,69;5,68
24/2/90;#N/A;#N/A
25/2/90;#N/A;#N/A
26/2/90;23,56;5,72
27/2/90;22,69;5,70
28/2/90;21,99;5,73
1/3/90;21,90;5,80
2/3/90;21,34;5,80
3/3/90;#N/A;#N/A
4/3/90;#N/A;#N/A
5/3/90;22,03;5,75
6/3/90;20,55;5,75
7/3/90;19,10;5,76
8/3/90;19,74;5,75
9/3/90;20,30;5,76
10/3/90;#N/A;#N/A
11/3/90;#N/A;#N/A
12/3/90;20,07;5,76
13/3/90;21,05;5,80
14/3/90;19,65;5,78
15/3/90;18,81;5,75
16/3/90;17,62;5,72
17/3/90;#N/A;#N/A
18/3/90;#N/A;#N/A
19/3/90;18,29;5,68
20/3/90;19,06;5,73
21/3/90;20,10;5,76
22/3/90;22,74;5,75
23/3/90;20,46;5,77
24/3/90;#N/A;#N/A
25/3/90;#N/A;#N/A
26/3/90;19,59;5,77
27/3/90;21,01;5,76
28/3/90;19,77;5,74
29/3/90;18,46;5,71
30/3/90;19,73;5,68
31/3/90;#N/A;#N/A
1/4/90;#N/A;#N/A
2/4/90;22,84;5,72
3/4/90;20,44;5,71
4/4/90;22,03;5,71
5/4/90;21,21;5,71
6/4/90;21,76;5,70
7/4/90;#N/A;#N/A
8/4/90;#N/A;#N/A
9/4/90;22,30;5,68
10/4/90;21,69;5,68
11/4/90;17,73;5,63
12/4/90;19,80;5,62
13/4/90;#N/A;#N/A
14/4/90;#N/A;#N/A
15/4/90;#N/A;#N/A
16/4/90;20,75;#N/A
17/4/90;20,38;5,64
18/4/90;22,67;5,62
19/4/90;22,46;5,63
20/4/90;23,33;5,67
21/4/90;#N/A;#N/A
22/4/90;#N/A;#N/A
23/4/90;24,16;5,70
24/4/90;21,70;5,68
25/4/90;20,86;5,65
26/4/90;20,25;5,64
27/4/90;22,19;5,62
28/4/90;#N/A;#N/A
29/4/90;#N/A;#N/A
30/4/90;19,52;5,63
1/5/90;18,43;5,63
2/5/90;19,32;5,64
3/5/90;17,81;5,64
4/5/90;17,28;5,61
5/5/90;#N/A;#N/A
6/5/90;#N/A;#N/A
7/5/90;17,65;#N/A
8/5/90;18,49;5,57
9/5/90;18,64;5,52
10/5/90;18,59;5,52
11/5/90;19,81;5,51
12/5/90;#N/A;#N/A
13/5/90;#N/A;#N/A
14/5/90;20,14;5,54
15/5/90;19,49;5,56
16/5/90;17,71;5,54
17/5/90;17,27;5,55
18/5/90;17,20;#N/A
19/5/90;#N/A;#N/A
20/5/90;#N/A;#N/A
21/5/90;16,72;5,60
22/5/90;17,84;5,62
23/5/90;17,18;5,63
24/5/90;17,70;5,63
25/5/90;17,32;5,66
26/5/90;#N/A;#N/A
