;PIBOFF3M Index
21/05/1990;9.8125
22/05/1990;9.9375
23/05/1990;9.82812
24/05/1990;9.875
25/05/1990;9.875
29/05/1990;9.78
30/05/1990;9.882
31/05/1990;9.9375
01/06/1990;10.0625
05/06/1990;10
06/06/1990;10.0625
07/06/1990;10
08/06/1990;10.065
11/06/1990;10.0625
12/06/1990;10.039
13/06/1990;10
14/06/1990;9.9375
15/06/1990;10.0625
18/06/1990;10.0625
19/06/1990;10.125
20/06/1990;10.1875
21/06/1990;10.125
22/06/1990;10.0859
25/06/1990;10.0625
26/06/1990;10.0625
27/06/1990;10.164
28/06/1990;10.1875
29/06/1990;10.125
02/07/1990;10.125
03/07/1990;10.0625
04/07/1990;10.0625
05/07/1990;10.0625
06/07/1990;10.0625
09/07/1990;10.125
10/07/1990;10.125
11/07/1990;10.1875
12/07/1990;10.1875
13/07/1990;10.1875
16/07/1990;10.1875
17/07/1990;10.125
18/07/1990;10
19/07/1990;9.9375
20/07/1990;10
23/07/1990;9.9375
24/07/1990;9.9375
25/07/1990;10.039
26/07/1990;9.953
27/07/1990;9.9375
30/07/1990;9.875
31/07/1990;9.9375
01/08/1990;9.9375
02/08/1990;10
03/08/1990;10
07/08/1990;10.24218
08/08/1990;10.125
09/08/1990;10.125
10/08/1990;10.10156
13/08/1990;10.125
14/08/1990;10.0625
16/08/1990;10.0625
17/08/1990;10.0625
20/08/1990;10.25
21/08/1990;10.3125
22/08/1990;10.4375
23/08/1990;10.4375
24/08/1990;10.4375
27/08/1990;10.375
28/08/1990;10.28
29/08/1990;10.375
30/08/1990;10.3125
31/08/1990;10.3125
03/09/1990;10.375
04/09/1990;10.4375
05/09/1990;10.4375
06/09/1990;10.4218
07/09/1990;10.375
10/09/1990;10.3125
11/09/1990;10.3125
12/09/1990;10.25
13/09/1990;10.2578
14/09/1990;10.3125
17/09/1990;10.375
18/09/1990;10.375
19/09/1990;10.3125
20/09/1990;10.25
21/09/1990;10.25
24/09/1990;10.375
25/09/1990;10.4
26/09/1990;10.375
27/09/1990;10.375
28/09/1990;10.375
01/10/1990;10.3125
02/10/1990;10.296
03/10/1990;10.25
04/10/1990;10.25
05/10/1990;10.1875
08/10/1990;10.0625
09/10/1990;10
10/10/1990;10.0625
