Date,vix
2/1/90,"17,24"
3/1/90,"18,19"
4/1/90,"19,22"
5/1/90,"20,11"
6/1/90,#N/A
7/1/90,#N/A
8/1/90,"20,26"
9/1/90,"22,20"
10/1/90,"22,44"
11/1/90,"20,05"
12/1/90,"24,64"
13/1/90,#N/A
14/1/90,#N/A
15/1/90,"26,34"
16/1/90,"24,18"
17/1/90,"24,16"
18/1/90,"24,34"
19/1/90,"22,50"
20/1/90,#N/A
21/1/90,#N/A
22/1/90,"26,70"
23/1/90,"24,72"
24/1/90,"25,39"
25/1/90,"25,63"
26/1/90,"26,28"
27/1/90,#N/A
28/1/90,#N/A
29/1/90,"26,44"
30/1/90,"27,25"
31/1/90,"25,36"
1/2/90,"24,87"
2/2/90,"24,32"
3/2/90,#N/A
4/2/90,#N/A
5/2/90,"24,54"
6/2/90,"24,69"
7/2/90,"24,29"
8/2/90,"23,77"
9/2/90,"23,69"
10/2/90,#N/A
11/2/90,#N/A
12/2/90,"24,38"
13/2/90,"23,76"
14/2/90,"22,05"
15/2/90,"19,71"
16/2/90,"20,78"
17/2/90,#N/A
18/2/90,#N/A
19/2/90,#N/A
20/2/90,"22,78"
21/2/90,"23,89"
22/2/90,"22,54"
23/2/90,"23,69"
24/2/90,#N/A
25/2/90,#N/A
26/2/90,"23,56"
27/2/90,"22,69"
28/2/90,"21,99"
1/3/90,"21,90"
2/3/90,"21,34"
3/3/90,#N/A
4/3/90,#N/A
5/3/90,"22,03"
6/3/90,"20,55"
7/3/90,"19,10"
8/3/90,"19,74"
9/3/90,"20,30"
10/3/90,#N/A
11/3/90,#N/A
12/3/90,"20,07"
13/3/90,"21,05"
14/3/90,"19,65"
15/3/90,"18,81"
16/3/90,"17,62"
17/3/90,#N/A
18/3/90,#N/A
19/3/90,"18,29"
20/3/90,"19,06"
21/3/90,"20,10"
22/3/90,"22,74"
23/3/90,"20,46"
24/3/90,#N/A
25/3/90,#N/A
26/3/90,"19,59"
27/3/90,"21,01"
28/3/90,"19,77"
29/3/90,"18,46"
30/3/90,"19,73"
31/3/90,#N/A
